epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0898,1.87112,3.17456,0.98398,0.00492,0.05276,0.01765,0.00409,1.8157,3.88045,0.9114,0.000375,0.000375,0.000375
2,36.9096,1.86967,1.63514,0.96915,0.0283,0.26096,0.11924,0.04891,1.64943,3.08318,0.88949,0.000754951,0.000754951,0.000754951
3,49.4567,1.6919,1.32117,0.93893,0.68098,0.18883,0.20788,0.09985,1.56736,1.99758,0.89038,0.00112723,0.00112723,0.00112723
4,60.5886,1.63546,1.20739,0.9162,0.85995,0.23537,0.24895,0.10401,1.7924,1.2854,0.89765,0.00121287,0.00121287,0.00121287
5,72.4994,1.56508,1.14641,0.90994,0.78679,0.24695,0.24769,0.11672,1.62903,1.21628,0.89153,0.0012005,0.0012005,0.0012005
6,84.8184,1.54137,1.09493,0.90185,0.83268,0.24582,0.28769,0.13601,1.69228,1.08002,0.89678,0.00118812,0.00118812,0.00118812
7,97.2507,1.62701,1.10547,0.91653,0.86043,0.25736,0.30959,0.16931,1.36215,0.97903,0.86511,0.00117575,0.00117575,0.00117575
8,111.416,1.53311,1.0531,0.89445,0.57657,0.32053,0.32341,0.18317,1.33891,0.93338,0.86039,0.00116337,0.00116337,0.00116337
9,123.826,1.48656,1.01967,0.89102,0.61748,0.3456,0.36237,0.20282,1.34015,0.95392,0.86726,0.001151,0.001151,0.001151
10,135.729,1.51195,0.98813,0.89089,0.63377,0.3742,0.38165,0.19711,1.43033,0.96117,0.86847,0.00113863,0.00113863,0.00113863
11,146.708,1.44787,0.95002,0.89042,0.65136,0.48278,0.44851,0.24652,1.28646,0.86558,0.85822,0.00112625,0.00112625,0.00112625
12,159.035,1.44465,0.90444,0.88543,0.73322,0.45175,0.47143,0.26443,1.27713,0.87184,0.85656,0.00111388,0.00111388,0.00111388
13,171.458,1.43718,0.88455,0.88505,0.76478,0.50509,0.51292,0.2715,1.40321,0.83434,0.86505,0.0011015,0.0011015,0.0011015
14,183.741,1.46543,0.88624,0.88729,0.75671,0.47722,0.50744,0.28418,1.25601,0.84069,0.862,0.00108913,0.00108913,0.00108913
15,196.007,1.45228,0.86887,0.87775,0.78723,0.55468,0.57079,0.30714,1.32129,0.82207,0.85964,0.00107675,0.00107675,0.00107675
16,206.735,1.3939,0.83045,0.87688,0.73821,0.54092,0.5261,0.27899,1.36529,0.83104,0.86206,0.00106437,0.00106437,0.00106437
17,218.829,1.40936,0.81827,0.88084,0.79107,0.57949,0.59092,0.34518,1.20072,0.73951,0.85164,0.001052,0.001052,0.001052
18,231.016,1.35705,0.80369,0.86421,0.79611,0.53664,0.58256,0.33248,1.21774,0.75352,0.85387,0.00103962,0.00103962,0.00103962
19,243.336,1.43472,0.82944,0.87427,0.71341,0.42507,0.48227,0.27278,1.22166,0.85008,0.85575,0.00102725,0.00102725,0.00102725
20,255.744,1.4194,0.82202,0.87605,0.79471,0.55994,0.59502,0.32171,1.30498,0.78807,0.85832,0.00101488,0.00101488,0.00101488
21,267.39,1.35472,0.78491,0.863,0.79198,0.56372,0.59805,0.33457,1.25024,0.73069,0.85121,0.0010025,0.0010025,0.0010025
22,278.719,1.34202,0.761,0.8704,0.81462,0.49977,0.5551,0.30283,1.28577,0.78864,0.85252,0.000990125,0.000990125,0.000990125
23,291.093,1.33856,0.76271,0.86752,0.82513,0.55427,0.61786,0.34257,1.2605,0.77399,0.85281,0.00097775,0.00097775,0.00097775
