epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1394,2.83002,3.88272,1.49533,0,0,0,0,3.35401,4.28858,1.39439,0.000375,0.000375,0.000375
2,22.9962,2.12195,1.99025,1.10911,0.01629,0.1281,0.07648,0.02948,2.03729,3.21973,1.05568,0.000754951,0.000754951,0.000754951
3,29.8554,1.89467,1.46273,1.01247,0.91448,0.17288,0.18258,0.07137,1.88559,1.45929,0.93965,0.00112723,0.00112723,0.00112723
4,36.6387,1.78726,1.34576,0.98142,0.92081,0.18074,0.20149,0.09141,1.73165,1.35378,0.92856,0.00121287,0.00121287,0.00121287
5,43.3933,1.73152,1.23357,0.95801,0.94383,0.20153,0.2241,0.10927,1.65137,1.16565,0.92275,0.0012005,0.0012005,0.0012005
6,50.1314,1.66461,1.18324,0.93941,0.95287,0.21244,0.23564,0.12058,1.51982,1.09679,0.899,0.00118812,0.00118812,0.00118812
7,57.021,1.64691,1.16106,0.93676,0.95604,0.21718,0.2452,0.126,1.52333,1.06334,0.89414,0.00117575,0.00117575,0.00117575
8,63.803,1.5936,1.11403,0.92167,0.95848,0.21863,0.24966,0.13229,1.48477,1.04335,0.89241,0.00116337,0.00116337,0.00116337
9,70.5543,1.59709,1.08055,0.91922,0.74339,0.25201,0.26136,0.1367,1.54446,1.03577,0.89812,0.001151,0.001151,0.001151
10,77.2661,1.62102,1.08309,0.92069,0.76646,0.2447,0.25504,0.13405,1.51496,1.07704,0.89721,0.00113863,0.00113863,0.00113863
11,83.9844,1.55117,1.03447,0.91291,0.51592,0.27736,0.28431,0.15348,1.43494,1.00025,0.88009,0.00112625,0.00112625,0.00112625
12,90.7853,1.58553,1.03808,0.91415,0.83391,0.24565,0.29389,0.1484,1.47488,1.04973,0.88025,0.00111388,0.00111388,0.00111388
13,97.3779,1.50729,1.00251,0.90044,0.61646,0.32611,0.36767,0.19363,1.38263,0.96834,0.87173,0.0011015,0.0011015,0.0011015
14,104.02,1.50736,0.9808,0.90189,0.61494,0.35772,0.37087,0.18468,1.47309,0.99434,0.87904,0.00108913,0.00108913,0.00108913
15,110.631,1.54208,0.97489,0.90589,0.64633,0.35705,0.37393,0.17562,1.60464,1.02637,0.89191,0.00107675,0.00107675,0.00107675
16,117.29,1.59652,0.97704,0.90698,0.65079,0.34767,0.36244,0.16091,1.64326,1.04128,0.88855,0.00106437,0.00106437,0.00106437
17,123.994,1.56691,0.95803,0.91802,0.74778,0.42339,0.44004,0.23356,1.39197,0.91989,0.87758,0.001052,0.001052,0.001052
